Kategori,Nama_File,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg
apel,istockphoto-616108408-612x612.jpg,1.6833,0.4647,0.8407,0.6209,0.9879,0.3855,1.3466,0.8542,0.622,1.8327,0.8283,0.62,1.2985,0.8536,0.6216,2.2555,0.8266,0.6198
apel,istockphoto-625771024-612x612.jpg,1.6039,0.6074,0.7727,0.4008,0.9903,0.1606,1.3164,0.7934,0.4025,1.857,0.7534,0.3991,1.2106,0.7902,0.4023,2.0318,0.754,0.3993
apel,istockphoto-625771024-612x612.jpg,1.6039,0.6074,0.7727,0.4008,0.9903,0.1606,1.3164,0.7934,0.4025,1.857,0.7534,0.3991,1.2106,0.7902,0.4023,2.0318,0.754,0.3993
apel,istockphoto-667661104-612x612.jpg,0.7686,0.3516,0.8575,0.5746,0.9948,0.3302,0.5797,0.875,0.5761,0.9567,0.842,0.5734,0.5645,0.8725,0.5758,0.9734,0.8406,0.5733
apel,istockphoto-667661104-612x612.jpg,0.7686,0.3516,0.8575,0.5746,0.9948,0.3302,0.5797,0.875,0.5761,0.9567,0.842,0.5734,0.5645,0.8725,0.5758,0.9734,0.8406,0.5733
apel,istockphoto-667680664-612x612.jpg,0.8261,0.3728,0.8497,0.5295,0.9959,0.2804,0.6285,0.8688,0.5312,0.9899,0.8332,0.5282,0.6006,0.8635,0.5306,1.0855,0.8331,0.5282
apel,istockphoto-667680664-612x612.jpg,0.8261,0.3728,0.8497,0.5295,0.9959,0.2804,0.6285,0.8688,0.5312,0.9899,0.8332,0.5282,0.6006,0.8635,0.5306,1.0855,0.8331,0.5282
apel,istockphoto-92360356-612x612.jpg,1.3301,0.398,0.8611,0.5579,0.9927,0.3113,1.1255,0.8763,0.5587,1.6169,0.8504,0.5571,0.9489,0.8713,0.5589,1.6289,0.8465,0.557
apel,istockphoto-92360356-612x612.jpg,1.3301,0.398,0.8611,0.5579,0.9927,0.3113,1.1255,0.8763,0.5587,1.6169,0.8504,0.5571,0.9489,0.8713,0.5589,1.6289,0.8465,0.557
apel,istockphoto-92655916-612x612.jpg,1.3082,0.4293,0.8448,0.556,0.9909,0.3091,1.0438,0.8543,0.5571,1.6227,0.8294,0.5546,0.9489,0.8639,0.5574,1.6173,0.8315,0.5547
apel,istockphoto-92655916-612x612.jpg,1.3082,0.4293,0.8448,0.556,0.9909,0.3091,1.0438,0.8543,0.5571,1.6227,0.8294,0.5546,0.9489,0.8639,0.5574,1.6173,0.8315,0.5547
apel,istockphoto-95484841-612x612.jpg,2.473,0.7357,0.7554,0.4653,0.9842,0.2165,2.0106,0.7674,0.4663,2.8927,0.7383,0.4642,1.6965,0.78,0.4669,3.2923,0.7357,0.464
apel,istockphoto-95484841-612x612.jpg,2.473,0.7357,0.7554,0.4653,0.9842,0.2165,2.0106,0.7674,0.4663,2.8927,0.7383,0.4642,1.6965,0.78,0.4669,3.2923,0.7357,0.464
nanas,istockphoto-1008429106-612x612.jpg,3.0184,0.6972,0.8022,0.648,0.9668,0.4199,2.4611,0.8065,0.6493,4.0378,0.7884,0.6459,1.9858,0.8251,0.6501,3.589,0.7886,0.6466
nanas,istockphoto-1008429106-612x612.jpg,3.0184,0.6972,0.8022,0.648,0.9668,0.4199,2.4611,0.8065,0.6493,4.0378,0.7884,0.6459,1.9858,0.8251,0.6501,3.589,0.7886,0.6466
nanas,istockphoto-1132807691-612x612.jpg,4.4995,0.9208,0.7468,0.5465,0.9729,0.2986,3.4764,0.7575,0.5477,5.6866,0.733,0.5446,3.2001,0.7679,0.5491,5.6347,0.7288,0.5445
