Kategori,Nama_File,Hue_1,Warna_1,Hue_2,Warna_2,Hue_3,Warna_3
nanas,istockphoto-1255490998-612x612.jpg,21.0,Oranye,40.0,Hijau,,
nanas,istockphoto-1255490998-612x612.jpg,21.0,Oranye,40.0,Hijau,,
nanas,istockphoto-1293845097-612x612.jpg,19.0,Oranye,,,,
nanas,istockphoto-1293845097-612x612.jpg,19.0,Oranye,,,,
nanas,istockphoto-135729530-612x612.jpg,16.0,Oranye,,,,
nanas,istockphoto-135729530-612x612.jpg,16.0,Oranye,,,,
nanas,istockphoto-1366787876-612x612.jpg,26.0,Kuning,35.5,Hijau,,
nanas,istockphoto-1366787876-612x612.jpg,26.0,Kuning,35.5,Hijau,,
nanas,istockphoto-144231660-612x612.jpg,18.0,Oranye,35.0,Hijau,33.0,Kuning
nanas,istockphoto-144231660-612x612.jpg,18.0,Oranye,35.0,Hijau,33.0,Kuning
nanas,istockphoto-144871786-612x612.jpg,14.0,Oranye,,,,
nanas,istockphoto-144871786-612x612.jpg,14.0,Oranye,,,,
nanas,istockphoto-152953394-612x612.jpg,36.75,Hijau,29.0,Kuning,,
nanas,istockphoto-152953394-612x612.jpg,36.75,Hijau,29.0,Kuning,,
nanas,istockphoto-152985782-612x612.jpg,13.0,Oranye,,,,
nanas,istockphoto-152985782-612x612.jpg,13.0,Oranye,,,,
nanas,istockphoto-152995139-612x612.jpg,15.0,Oranye,,,,
nanas,istockphoto-152995139-612x612.jpg,15.0,Oranye,,,,
nanas,istockphoto-155135289-612x612.jpg,16.0,Oranye,,,,
nanas,istockphoto-155135289-612x612.jpg,16.0,Oranye,,,,
nanas,istockphoto-172923656-612x612.jpg,17.6,Oranye,,,,
nanas,istockphoto-172923656-612x612.jpg,17.6,Oranye,,,,
nanas,istockphoto-172932390-612x612.jpg,18.0,Oranye,,,,
nanas,istockphoto-172932390-612x612.jpg,18.0,Oranye,,,,
nanas,istockphoto-173935152-612x612.jpg,17.0,Oranye,,,,
nanas,istockphoto-173935152-612x612.jpg,17.0,Oranye,,,,
nanas,istockphoto-174841598-612x612.jpg,13.0,Oranye,,,,
nanas,istockphoto-174841598-612x612.jpg,13.0,Oranye,,,,
nanas,istockphoto-176123145-612x612.jpg,14.0,Oranye,,,,
nanas,istockphoto-176123145-612x612.jpg,14.0,Oranye,,,,
nanas,istockphoto-178499769-612x612.jpg,20.8,Oranye,,,,
nanas,istockphoto-178499769-612x612.jpg,20.8,Oranye,,,,
nanas,istockphoto-178740379-612x612.jpg,16.0,Oranye,,,,
nanas,istockphoto-178740379-612x612.jpg,16.0,Oranye,,,,
nanas,istockphoto-178782647-612x612.jpg,44.0,Hijau,,,,
nanas,istockphoto-178782647-612x612.jpg,44.0,Hijau,,,,
nanas,istockphoto-182231981-612x612.jpg,16.0,Oranye,,,,
nanas,istockphoto-182231981-612x612.jpg,16.0,Oranye,,,,
nanas,istockphoto-182473485-612x612.jpg,20.0,Oranye,,,,
nanas,istockphoto-182473485-612x612.jpg,20.0,Oranye,,,,
nanas,istockphoto-185144690-612x612.jpg,26.5,Kuning,24.0,Oranye,,
nanas,istockphoto-185144690-612x612.jpg,26.5,Kuning,24.0,Oranye,,
nanas,istockphoto-186807261-612x612.jpg,30.0,Kuning,,,,
nanas,istockphoto-186807261-612x612.jpg,30.0,Kuning,,,,
nanas,istockphoto-186928771-612x612.jpg,38.5,Hijau,17.0,Oranye,,
nanas,istockphoto-186928771-612x612.jpg,38.5,Hijau,17.0,Oranye,,
nanas,istockphoto-2096261549-612x612.jpg,17.0,Oranye,,,,
nanas,istockphoto-2096261549-612x612.jpg,17.0,Oranye,,,,
nanas,istockphoto-2181463479-612x612.jpg,16.0,Oranye,,,,
nanas,istockphoto-2181463479-612x612.jpg,16.0,Oranye,,,,
nanas,istockphoto-2188481129-612x612.jpg,15.0,Oranye,,,,
nanas,istockphoto-2188481129-612x612.jpg,15.0,Oranye,,,,
nanas,istockphoto-2230793089-612x612.jpg,41.5,Hijau,15.0,Oranye,,
nanas,istockphoto-2230793089-612x612.jpg,41.5,Hijau,15.0,Oranye,,
